"DPT_EXE","DEPART","ARRIVEE","NBRE"
"71",71528,69123,1
"21",21142,21317,1
"75",91350,91000,1
"21",21663,71076,1
"21",21304,75113,1
"21",21292,21563,1
"39",39056,21278,1
"71",21485,71076,1
"03",3103,42187,1
"89",21231,89013,1
"93",93047,92040,1
"21",21054,25030,1
"01",71270,21351,1
"21",21420,39000,1
"21",21000,21610,1
"21",69029,21026,1
"71",21502,21231,1
"92",75115,92033,1
"21",21387,71182,1
"74",74205,74010,1
"21",21092,71182,1
"83",83023,83087,1
"21",21305,75113,1
"21",21175,54395,1
"21",25056,39150,1
"25",69152,21223,1
"25",25056,39072,1
"21",25434,21005,1
"52",21674,52269,1
"21",75015,21231,1
"58",58109,58086,1
"69",21138,69149,1
"75",60350,60520,1
"21",21449,89025,1
"83",83137,83152,1
"39",39462,21231,1
"25",90097,25063,1
"71",71182,69181,1
"45",45127,45004,1
"71",71230,71153,1
"21",94043,21166,1
"39",39300,71157,1
"21",21558,71153,1
"21",21166,67271,1
"10",10323,10169,1
"58",58304,58194,1
"21",21194,0,1
"25",25056,21699,1
"21",21625,21054,1
"34",34003,34199,1
"25",71475,21193,1
"21",21316,71076,1
"83",13055,83037,1
"21",92060,21666,1
"58",58121,58194,1
"21",21425,21560,1
"21",21127,21317,1
"25",21231,21207,1
"21",21171,51588,1
"75",77288,77495,1
"21",21231,67507,1
"21",21200,21230,1
"39",25056,21059,1
"25",21231,92060,1
"21",21210,21700,1
"21",21274,71076,1
"52",52121,21305,1
"21",18246,21231,1
"89",21110,21166,1
"39",21095,39198,1
"21",52269,21717,1
"70",70550,21382,1
"88",88310,88321,1
"84",84088,84007,1
"75",91228,91286,1
"21",21054,21280,1
"21",69029,21407,1
"25",21231,21611,1
"51",51058,21231,1
"21",39198,21535,1
"78",78498,78158,1
"41",41097,41194,1
"70",90010,90097,1
"21",21231,71170,1
"91",91433,91021,1
"89",21231,21108,1
"21",21559,21501,1
"21",21607,21038,1
"54",54157,54654,1
"59",59249,59525,1
"21",21046,21603,1
"21",71379,21231,1
"21",21278,52093,1
"89",89195,89206,1
"25",25348,21231,1
"42",42222,21054,1
"71",71475,21684,1
"89",21518,21231,1
"71",21023,21054,1
"21",89025,21047,1
"21",71118,0,1
"75",77350,77210,1
"33",33236,33011,1
"39",39273,39016,1
"25",25101,25056,1
"71",71182,21295,1
"21",21201,92060,1
"84",84077,84031,1
"21",89025,21685,1
"21",89024,21594,1
"21",39198,21277,1
"89",21231,21048,1
"39",71157,39300,1
